country,total_cases,today,total_deaths,today,region
China,"14,497",,304,,Asia
Japan,20,,,,Asia
Thailand,19,,,,Asia
Singapore,18,,,,Asia
South Korea,15,,,,Asia
Hong Kong,14,,,,Asia
Australia,12,,,,Australia/Oceania
Germany,10,,,,Europe
Taiwan,10,,,,Asia
Malaysia,8,,,,Asia
Macao,8,,,,Asia
U.S.,8,,,,North America
Vietnam,7,,,,Asia
France,6,,,,Europe
U.A.E.,5,,,,Asia
Canada,4,,,,North America
Philippines,2,+1,1,+1,Asia
India,2,,,,Asia
U.K.,2,,,,Europe
Italy,2,,,,Europe
Russia,2,,,,Europe
Finland,1,,,,Europe
Sweden,1,,,,Europe
Sri Lanka,1,,,,Asia
Nepal,1,,,,Asia
Cambodia,1,,,,Asia
Spain,1,,,,Europe
