country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop
China,"81,554",,"3,312",,"76,238","2,004",466,57,2
USA,"215,003","+26,473","5,102","+1,049","8,878","201,023","5,005",650,15
Italy,"110,574","+4,782","13,155",+727,"16,847","80,572","4,035","1,829",218
Spain,"104,118","+8,195","9,387",+923,"22,647","72,084","5,872","2,227",201
Germany,"77,981","+6,173",931,+156,"18,700","58,350","3,408",931,11
France,"56,989","+4,861","4,032",+509,"10,935","42,022","6,017",873,62
Iran,"47,593","+2,988","3,036",+138,"15,473","29,084","3,871",567,36
UK,"29,474","+4,324","2,352",+563,135,"26,987",163,434,35
Switzerland,"17,768","+1,163",488,+55,"2,967","14,313",348,"2,053",56
Turkey,"15,679","+2,148",277,+63,333,"15,069",847,186,3
Belgium,"13,964","+1,189",828,+123,"2,132","11,004","1,088","1,205",71
Netherlands,"13,614","+1,019","1,173",+134,250,"12,191","1,053",795,68
Austria,"10,711",+531,146,+18,"1,436","9,129",215,"1,189",16
S. Korea,"9,887",+101,165,+3,"5,567","4,155",55,193,3
Canada,"9,731","+1,119",114,+13,"1,736","7,881",120,258,3
Portugal,"8,251",+808,187,+27,43,"8,021",230,809,18
Brazil,"6,880","+1,163",242,+41,127,"6,511",296,32,1
Israel,"6,092",+734,26,+6,241,"5,825",95,704,3
Australia,"5,048",+285,23,+3,345,"4,680",50,198,0.9
Sweden,"4,947",+512,239,+59,103,"4,605",393,490,24
Norway,"4,877",+236,44,+5,13,"4,820",105,900,8
Czechia,"3,589",+281,39,+8,61,"3,489",70,335,4
Ireland,"3,447",+212,85,+14,5,"3,357",103,698,17
Denmark,"3,107",+247,104,+14,894,"2,109",145,536,18
Chile,"3,031",+293,16,+4,234,"2,781",31,159,0.8
Malaysia,"2,908",+142,45,+2,645,"2,218",102,90,1
Russia,"2,777",+440,24,+7,190,"2,563",8,19,0.2
Ecuador,"2,758",+456,98,+19,58,"2,602",100,156,6
Poland,"2,554",+243,43,+10,56,"2,455",50,67,1
Romania,"2,460",+215,92,+10,252,"2,116",57,128,5
Japan,"2,384",+206,57,,472,"1,855",69,19,0.5
Luxembourg,"2,319",+141,29,+6,80,"2,210",31,"3,705",46
Philippines,"2,311",+227,96,+8,50,"2,165",1,21,0.9
Pakistan,"2,118",+180,27,+1,94,"1,997",12,10,0.1
India,"1,998",+601,58,+23,148,"1,792",,1,0.04
Thailand,"1,771",+120,12,+2,505,"1,254",23,25,0.2
Saudi Arabia,"1,720",+157,16,+6,264,"1,440",31,49,0.5
Indonesia,"1,677",+149,157,+21,103,"1,417",,6,0.6
Finland,"1,446",+28,17,,10,"1,419",62,261,3
Greece,"1,415",+101,51,+2,52,"1,312",90,136,5
South Africa,"1,380",+27,5,,50,"1,325",7,23,0.08
Peru,"1,323",+258,38,+8,394,891,49,40,1
Panama,"1,317",+136,32,+2,9,"1,276",50,305,7
Dominican Republic,"1,284",+175,57,+6,9,"1,218",,118,5
Iceland,"1,220",+85,2,,236,982,12,"3,575",6
Mexico,"1,215",+121,29,+1,35,"1,151",1,9,0.2
Argentina,"1,133",+79,32,+5,248,853,,25,0.7
Colombia,"1,065",+159,17,+1,39,"1,009",47,21,0.3
Serbia,"1,060",+160,28,+5,42,990,62,121,3
Singapore,"1,000",+74,3,,245,752,24,171,0.5
Croatia,963,+96,6,,73,884,34,235,1
Algeria,847,+131,58,+14,61,728,,19,1
Slovenia,841,+39,15,,10,816,31,405,7
Qatar,835,+54,2,,71,762,37,290,0.7
UAE,814,+150,8,+2,61,745,2,82,0.8
Ukraine,794,+149,20,+3,13,761,,18,0.5
Egypt,779,+69,52,+6,179,548,,8,0.5
Estonia,779,+34,5,+1,33,741,15,587,4
