country_other,totalcases,newcases,totaldeaths,newdeaths,activecases,totalrecovered,serious_critical
China,"80,282",+12,"2,981",,"27,290","50,011","6,416"
S. Korea,"5,621",+435,35,+3,"5,545",41,52
Italy,"3,089",+587,107,+28,"2,706",276,295
Iran,"2,922",+586,92,+15,"2,278",552,
Diamond Princess,706,,6,,488,212,35
Japan,331,+38,6,,282,43,29
France,285,+73,4,,269,12,15
Germany,262,+59,,,246,16,2
Spain,228,+63,2,+1,224,2,7
USA,154,+30,11,+2,134,9,8
Singapore,110,,,,32,78,7
Hong Kong,103,+2,2,,64,37,6
Switzerland,93,+35,,,90,3,
U.K.,87,+36,,,79,8,
Norway,59,+26,,,59,,
Kuwait,56,,,,56,,
Bahrain,52,+3,,,51,1,
Sweden,52,+22,,,51,1,
Australia,50,+11,2,+1,27,21,1
Malaysia,50,+14,,,28,22,
Thailand,43,,1,,12,30,1
Taiwan,42,,1,,29,12,
Netherlands,38,+15,,,38,,1
Iraq,35,+3,2,+2,33,,
Canada,33,+3,,,26,7,
Austria,29,+5,,,29,,
India,29,+22,,,26,3,
U.A.E.,28,+1,,,23,5,2
Iceland,26,+12,,,25,1,
Belgium,23,+8,,,22,1,1
Algeria,17,+9,,,17,,
San Marino,16,+6,1,,15,,3
Vietnam,16,,,,0,16,
Denmark,15,+5,,,15,,
Israel,15,+3,,,14,1,
Lebanon,15,+2,,,15,,
Oman,15,+3,,,13,2,
Macao,10,,,,1,9,
Croatia,10,+1,,,10,,
Ecuador,10,+3,,,10,,1
Greece,9,+2,,,9,,
Czechia,8,+3,,,8,,
Qatar,8,,,,8,,
Finland,7,,,,6,1,
Belarus,6,+2,,,6,,
Ireland,6,+4,,,6,,
Mexico,6,,,,5,1,
Portugal,6,+2,,,6,,
Romania,6,+2,,,5,1,
Pakistan,5,,,,5,,
Brazil,4,+2,,,4,,
Senegal,4,+2,,,4,,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Georgia,3,,,,3,,
New Zealand,3,+1,,,3,,
Russia,3,,,,1,2,
Egypt,2,,,,1,1,
Estonia,2,,,,2,,
Indonesia,2,,,,2,,
Saudi Arabia,2,+1,,,2,,
Chile,2,+1,,,2,,
Hungary,2,+2,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Argentina,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,+1,,,1,,
Slovenia,1,+1,,,1,,
Total:,"95,180","2,159","3,254",52,"40,483","51,443","6,882"
