#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"11,951,713","+137,999","361,723","+1,846","7,810,187","+52,860","3,779,803","21,898",,,,,,North America,,,
,Asia,"14,235,877","+100,500","252,370","+1,596","12,707,056","+88,152","1,276,451","22,791",,,,,,Asia,,,
,South America,"9,923,768","+46,097","301,005",+975,"8,878,956","+24,081","743,807","17,774",,,,,,South America,,,
,Europe,"11,615,747","+311,451","287,298","+4,371","4,248,158","+84,284","7,080,291","25,797",,,,,,Europe,,,
,Africa,"1,866,048","+11,879","44,540",+224,"1,560,777","+12,127","260,731","2,423",,,,,,Africa,,,
,Oceania,"40,289",+253,980,,"32,819",+32,"6,490",26,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"49,634,163","+608,179","1,247,931","+9,012","35,238,612","+261,536","13,147,620","90,713","6,368",160.1,,,,All,,,
1,USA,"10,049,990","+123,944","242,163","+1,181","6,384,536","+42,836","3,423,291","18,214","30,300",730,"154,958,981","467,194","331,679,824",North America,33,"1,370",2
2,India,"8,460,773","+49,739","125,605",+576,"7,818,434","+53,671","516,734","8,944","6,110",91,"115,429,095","83,359","1,384,715,664",Asia,164,"11,024",12
3,Brazil,"5,632,505","+18,247","162,035",+256,"5,064,344",,"406,126","8,318","26,433",760,"21,900,000","102,776","213,085,794",South America,38,"1,315",10
4,Russia,"1,733,440","+20,582","29,887",+378,"1,296,124","+16,955","407,429","2,300","11,876",205,"63,541,298","435,344","145,956,429",Europe,84,"4,884",2
5,France,"1,661,853","+60,486","39,865",+828,"126,329","+2,051","1,495,659","4,331","25,440",610,"17,367,177","265,862","65,324,114",Europe,39,"1,639",4
6,Spain,"1,388,411","+22,516","38,833",+347,N/A,N/A,N/A,"2,863","29,692",830,"18,072,174","386,479","46,761,136",Europe,34,"1,204",3
7,Argentina,"1,228,814","+11,786","33,136",+370,"1,042,237","+12,100","153,441","4,666","27,102",731,"3,177,564","70,083","45,339,899",South America,37,"1,368",14
8,UK,"1,146,484","+23,287","48,475",+355,N/A,N/A,N/A,"1,181","16,857",713,"35,600,586","523,457","68,010,512",Europe,59,"1,403",2
9,Colombia,"1,127,733","+9,756","32,405",+196,"1,020,263","+9,097","75,065","2,376","22,082",635,"5,320,872","104,186","51,071,028",South America,45,"1,576",10
10,Mexico,"949,197","+5,567","93,772",+544,"701,837","+4,435","153,588","2,800","7,335",725,"2,465,699","19,054","129,402,754",North America,136,"1,380",52
11,Peru,"917,503","+2,781","34,783",+53,"838,783",+518,"43,937","1,022","27,694","1,050","4,635,248","139,909","33,130,547",South America,36,952,7
