country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
World,"1,430,981","+84,945","82,036","+7,382","302,017","1,046,928","47,891",184,10.5
China,"81,802",+62,"3,333",+2,"77,279","1,190",189,57,2
USA,"400,335","+33,331","12,841","+1,970","21,674","365,820","9,169","1,209",39
Spain,"141,942","+5,267","14,045",+704,"43,208","84,689","7,069","3,036",300
Italy,"135,586","+3,039","17,127",+604,"24,392","94,067","3,792","2,243",283
France,"109,069","+11,059","10,328","+1,417","19,337","79,404","7,131","1,671",158
Germany,"107,663","+4,288","2,016",+206,"36,081","69,566","4,895","1,285",24
Iran,"62,589","+2,089","3,872",+133,"27,039","31,678","3,987",745,46
UK,"55,242","+3,634","6,159",+786,135,"48,948","1,559",814,91
Turkey,"34,109","+3,892",725,+76,"1,582","31,802","1,474",404,9
Switzerland,"22,253",+596,821,+56,"8,704","12,728",391,"2,571",95
Belgium,"22,194","+1,380","2,035",+403,"4,157","16,002","1,260","1,915",176
Netherlands,"19,580",+777,"2,101",+234,250,"17,229","1,424","1,143",123
Canada,"17,897","+1,230",381,+58,"4,028","13,488",426,474,10
Brazil,"14,034","+1,851",686,+122,127,"13,221",296,66,3
Austria,"12,639",+342,243,+23,"4,046","8,350",243,"1,403",27
Portugal,"12,442",+712,345,+34,184,"11,913",271,"1,220",34
S. Korea,"10,331",+47,192,+6,"6,694","3,445",55,202,4
Israel,"9,248",+344,65,+8,770,"8,413",149,"1,068",8
Sweden,"7,693",+487,591,+114,205,"6,897",640,762,59
Russia,"7,497","+1,154",58,+11,494,"6,945",8,51,0.4
Norway,"6,086",+221,89,+13,32,"5,965",78,"1,123",16
Australia,"5,988",+93,49,+4,"2,547","3,392",93,235,2
Ireland,"5,709",+345,210,+36,25,"5,474",165,"1,156",43
India,"5,351",+573,160,+24,468,"4,723",,4,0.1
Chile,"5,116",+301,43,+6,898,"4,175",337,268,2
Denmark,"5,071",+390,203,+16,"1,491","3,377",127,875,35
Czechia,"5,017",+195,88,+10,172,"4,757",86,468,8
Poland,"4,848",+435,129,+22,191,"4,528",50,128,3
Romania,"4,417",+360,197,+21,460,"3,760",274,230,10
Japan,"4,257",+351,93,+1,622,"3,542",80,34,0.7
Pakistan,"4,035",+269,57,+4,429,"3,549",28,18,0.3
Ecuador,"3,995",+248,220,+29,140,"3,635",156,226,12
Malaysia,"3,963",+170,63,+1,"1,321","2,579",92,122,2
Philippines,"3,764",+104,177,+14,84,"3,503",1,34,2
Luxembourg,"2,970",+127,44,+3,500,"2,426",35,"4,745",70
Peru,"2,954",+393,107,+15,"1,301","1,546",109,90,3
Saudi Arabia,"2,795",+190,41,+3,615,"2,139",41,80,1
Indonesia,"2,738",+247,221,+12,204,"2,313",,10,0.8
Serbia,"2,447",+247,61,+3,118,"2,268",109,280,7
Mexico,"2,439",+296,125,+31,633,"1,681",89,19,1.0
UAE,"2,359",+283,12,+1,186,"2,161",1,239,1
Finland,"2,308",+132,34,+7,300,"1,974",81,417,6
Thailand,"2,258",+38,27,+1,888,"1,343",61,32,0.4
Panama,"2,100",,55,,14,"2,031",88,487,13
Qatar,"2,057",+225,6,+2,150,"1,901",37,714,2
Dominican Republic,"1,956",+128,98,+12,36,"1,822",147,180,9
Greece,"1,832",+77,81,+2,269,"1,482",90,176,8
Colombia,"1,780",+201,50,+4,100,"1,630",76,35,1.0
South Africa,"1,749",+63,13,+1,95,"1,641",7,29,0.2
Argentina,"1,715",+87,60,+7,338,"1,317",96,38,1
Iceland,"1,586",+24,6,,559,"1,021",11,"4,648",18
Singapore,"1,481",+106,6,,377,"1,098",29,253,1
Algeria,"1,468",+45,193,+20,113,"1,162",46,33,4
Ukraine,"1,462",+143,45,+7,28,"1,389",16,33,1
Egypt,"1,450",+128,94,+9,276,"1,080",,14,0.9
Croatia,"1,282",+60,18,+2,167,"1,097",35,312,4
Morocco,"1,184",+64,90,+10,93,"1,001",1,32,2
New Zealand,"1,160",+54,1,,241,918,4,241,0.2
Estonia,"1,149",+41,21,+2,69,"1,059",12,866,16
Iraq,"1,122",+91,65,+1,373,684,,28,2
Slovenia,"1,059",+38,36,+6,102,921,30,509,17
Moldova,"1,056",+91,22,+3,40,994,80,262,5
Hong Kong,936,+21,4,,236,696,12,125,0.5
Lithuania,880,+37,15,,8,857,11,323,6
Belarus,861,+161,13,,54,794,31,91,1
Armenia,853,+20,8,,87,758,30,288,3
Hungary,817,+73,47,+9,71,699,17,85,5
Bahrain,811,+55,5,+1,458,348,4,477,3
Bosnia and Herzegovina,764,+90,33,+4,68,663,4,233,10
Kuwait,743,+78,1,,105,637,23,174,0.2
Azerbaijan,717,+76,8,+1,44,665,23,71,0.8
Diamond Princess,712,,11,,619,82,10,,
Kazakhstan,697,+35,6,,51,640,16,37,0.3
Cameroon,685,+27,9,,60,616,,26,0.3
Tunisia,623,+27,23,+1,25,575,39,53,2
North Macedonia,599,+29,26,+3,30,543,15,288,12
Slovakia,581,+47,2,,13,566,3,106,0.4
Bulgaria,577,+28,23,+1,42,512,21,83,3
Lebanon,548,+7,19,,62,467,29,80,3
Latvia,548,+6,2,+1,16,530,5,291,1
Andorra,545,+20,22,+1,39,484,17,"7,054",285
Uzbekistan,520,+63,2,,30,488,8,16,0.06
Cyprus,494,+29,9,,47,438,13,409,7
Costa Rica,483,+16,2,,24,457,14,95,0.4
Uruguay,424,+9,7,+1,150,267,14,122,2
Afghanistan,423,+56,14,+3,18,391,,11,0.4
Cuba,396,+46,11,+2,27,358,15,35,1.0
Burkina Faso,384,+20,19,+1,127,238,,18,0.9
Albania,383,+6,22,+1,131,230,7,133,8
Taiwan,376,+3,5,,61,310,,16,0.2
Oman,371,+40,2,,67,302,3,73,0.4
Réunion,358,+9,,,40,318,4,400,
Jordan,353,+4,6,,138,209,5,35,0.6
Ivory Coast,349,+26,3,,41,305,,13,0.1
Channel Islands,335,+12,7,,34,294,,"1,927",40
Honduras,305,+7,22,,6,277,10,31,2
Malta,293,+52,,,5,288,4,664,
Ghana,287,+73,5,,31,251,2,9,0.2
