country_territory,total_cases,feb_10_11_cases,total_deaths,feb_10_11_deaths,total_recovered,total_severe,region
China,"42,670","+2,499","1,016",+108,"4,318","7,333",Asia
Japan,163,+67,,,4,,Asia
Hong Kong,49,+13,1,,,,Asia
Singapore,47,+4,,,9,7,Asia
Thailand,33,+1,,,10,1,Asia
S. Korea,28,+1,,,4,,Asia
Taiwan,18,,,,1,,Asia
Malaysia,18,+1,,,3,,Asia
Germany,16,+2,,,,,Europe
Vietnam,15,+1,,,6,,Asia
Australia,15,,,,5,,Oceania
USA,13,+1,,,3,,N.America
France,11,,,,,1,Europe
Macao,10,,,,1,,Asia
U.A.E.,8,+1,,,1,1,Asia
U.K.,8,+4,,,1,,Europe
Canada,7,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,,,Asia
Russia,2,,,,,,Europe
Spain,2,,,,,,Europe
Sweden,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
Nepal,1,,,,,,Asia
Finland,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Belgium,1,,,,,,Europe
