country_territory,total_cases,feb_11_cases,total_deaths,feb_11_deaths,total_recovered,total_severe,region
China,"44,653","+2,015","1,113",+97,"4,777","8,204",Asia
Japan,203,+42,,,4,,Asia
Hong Kong,49,+7,1,,,,Asia
Singapore,47,+2,,,9,7,Asia
Thailand,33,+1,,,10,1,Asia
S. Korea,28,+1,,,4,,Asia
Taiwan,18,,,,1,,Asia
Malaysia,18,,,,3,,Asia
Germany,16,+2,,,,,Europe
Vietnam,15,+1,,,6,,Asia
Australia,15,,,,5,,Oceania
USA,13,+1,,,3,,N.America
France,11,,,,,1,Europe
Macao,10,,,,1,,Asia
U.K.,8,,,,1,,Europe
U.A.E.,8,,,,1,1,Asia
Canada,7,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,,,Asia
Russia,2,,,,,,Europe
Spain,2,,,,,,Europe
Finland,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Nepal,1,,,,,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
