country_territory,total_cases,change_(cases),total_deaths,change_(deaths),total_recovered,total_critical,region
China,"59,828","+15,426","1,367",+255,"6,210","8,024",Asia
Japan,251,+49,1,+1,10,4,Asia
Singapore,58,+11,,,15,8,Asia
Hong Kong,53,+4,1,,1,2,Asia
Thailand,33,,,,12,1,Asia
S. Korea,28,,,,7,,Asia
Malaysia,19,+1,,,3,,Asia
Taiwan,18,,,,1,,Asia
Germany,16,,,,1,,Europe
Vietnam,16,+1,,,7,,Asia
USA,15,+2,,,3,,N.America
Australia,15,,,,8,,Oceania
France,11,,,,2,1,Europe
Macao,10,,,,3,,Asia
U.K.,9,+1,,,1,,Europe
U.A.E.,8,,,,1,1,Asia
Canada,7,,,,1,,N.America
India,5,+2,,,1,,Asia
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
Russia,2,,,,2,,Europe
Spain,2,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Belgium,1,,,,,,Europe
Sweden,1,,,,,,Europe
Nepal,1,,,,1,,Asia
