#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"97,225,570","+50,267","1,451,153",+467,"93,372,013","+36,063","2,402,404","7,079",,,,,,North America,,,,,,
,Asia,"144,593,627","+334,191","1,413,102",+687,"123,413,260","+132,086","19,767,265","14,481",,,,,,Asia,,,,,,
,South America,"56,485,454","+32,364","1,291,332",+187,"52,398,076","+56,825","2,796,046","11,089",,,,,,South America,,,,,,
,Europe,"185,444,080","+491,696","1,794,668","+1,301","166,070,604","+731,879","17,578,808","9,474",,,,,,Europe,,,,,,
,Oceania,"6,285,702","+63,237","9,807",+53,"5,654,675","+12,930","621,220",161,,,,,,Australia/Oceania,,,,,,
,Africa,"11,815,973","+1,977","253,356",+20,"11,052,916","+2,959","509,701",957,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"501,851,127","+973,732","6,213,433","+2,715","451,962,250","+972,742","43,675,444","43,241","64,383",797.1,,,,All,,,,,,
1,USA,"82,186,859","+35,124","1,014,077",+317,"80,045,030","+28,751","1,127,752","1,559","245,735","3,032","993,188,565","2,969,586","334,453,530",North America,4,330,0,105,0.9,"3,372"
2,India,"43,038,882",+866,"521,767",+21,"42,505,410",,"11,705",698,"30,652",372,"794,525,202","565,851","1,404,124,784",Asia,33,"2,691",2,0.6,0.01,8
3,Brazil,"30,210,853","+26,924","661,710",+158,"29,167,518","+41,215","381,625","8,318","140,355","3,074","63,776,166","296,295","215,245,721",South America,7,325,3,125,0.7,"1,773"
4,France,"27,310,055","+146,426","143,777",+152,"24,492,686","+148,476","2,673,592","1,541","416,755","2,194","260,504,402","3,975,327","65,530,304",Europe,2,456,0,"2,234",2,"40,799"
5,Germany,"23,116,402","+179,888","132,906",+307,"19,179,300","+286,200","3,804,196","1,980","274,345","1,577","122,332,384","1,451,840","84,260,248",Europe,4,634,1,"2,135",4,"45,148"
6,UK,"21,715,116","+21,845","171,045",+46,"19,974,579","+82,474","1,569,492",385,"316,916","2,496","511,698,520","7,467,868","68,520,023",Europe,3,401,0,319,0.7,"22,906"
7,Russia,"18,030,579","+11,754","372,512",+267,"17,299,263","+28,135","358,804","2,300","123,458","2,551","273,400,000","1,872,017","146,045,714",Europe,8,392,1,80,2,"2,457"
8,S. Korea,"15,830,644","+195,370","20,034",+184,N/A,N/A,N/A,"1,014","308,303",390,"15,804,065","307,786","51,347,631",Asia,3,"2,563",3,"3,805",4,"289,032"
9,Italy,"15,467,395","+62,037","161,187",+155,"14,078,350","+63,318","1,227,858",449,"256,491","2,673","207,575,724","3,442,169","60,303,766",Europe,4,374,0,"1,029",3,"20,361"
10,Turkey,"14,978,031","+5,529","98,493",+31,"14,688,473","+14,493","191,065",975,"174,260","1,146","156,514,251","1,820,940","85,952,426",Asia,6,873,1,64,0.4,"2,223"
11,Spain,"11,662,214",,"103,266",,"11,120,708",,"438,240",368,"249,262","2,207","471,036,328","10,067,681","46,786,975",Europe,4,453,0,,,"9,367"
12,Vietnam,"10,297,587","+24,623","42,878",+20,"8,770,994","+13,887","1,483,715","1,205","104,126",434,"85,511,551","864,665","98,895,617",Asia,10,"2,306",1,249,0.2,"15,003"
13,Argentina,"9,057,923","+1,720","128,285",+17,"8,889,899","+1,385","39,739",424,"197,198","2,793","35,681,964","776,825","45,933,081",South America,5,358,1,37,0.4,865
14,Netherlands,"8,006,753","+4,947","22,138",+21,"7,191,958","+45,876","792,657",106,"465,447","1,287","21,107,399","1,227,012","17,202,278",Europe,2,777,1,288,1,"46,079"
15,Iran,"7,199,861","+2,356","140,711",+33,"6,930,509","+3,467","128,641","1,376","83,813","1,638","50,079,995","582,976","85,904,040",Asia,12,610,2,27,0.4,"1,497"
16,Japan,"7,124,030","+51,331","28,765",+44,"6,591,109","+44,733","504,156",468,"56,635",229,"44,996,843","357,719","125,788,137",Asia,18,"4,373",3,408,0.3,"4,008"
17,Colombia,"6,088,912",+293,"139,734",+5,"5,921,849",+99,"27,329",342,"117,440","2,695","34,204,521","659,720","51,847,041",South America,9,371,2,6,0.10,527
18,Indonesia,"6,036,909","+1,551","155,746",+29,"5,814,688","+3,022","66,475","2,771","21,664",559,"93,593,555","335,863","278,665,486",Asia,46,"1,789",3,6,0.1,239
19,Poland,"5,981,486","+1,269","115,736",+40,"5,333,900",+84,"531,850",268,"158,354","3,064","35,895,344","950,293","37,772,917",Europe,6,326,1,34,1,"14,080"
20,Mexico,"5,723,862",+648,"323,805",+78,"5,024,561","+1,147","375,496","4,798","43,580","2,465","15,683,615","119,411","131,340,943",North America,23,406,8,5,0.6,"2,859"
21,Australia,"5,206,999","+53,380","6,648",+39,"4,692,067",,"508,284",126,"200,070",255,"67,955,995","2,611,096","26,025,848",Australia/Oceania,5,"3,915",0,"2,051",1,"19,530"
22,Ukraine,"4,988,890","+1,605","108,194",+27,N/A,N/A,N/A,177,"115,306","2,501","19,521,252","451,184","43,266,690",Europe,9,400,2,37,0.6,"19,014"
23,Malaysia,"4,352,611","+10,052","35,363",+22,"4,196,656","+15,893","120,592",161,"131,486","1,068","57,710,125","1,743,342","33,103,161",Asia,8,936,1,304,0.7,"3,643"
