country__territory,total_cases,change_(cases),total_deaths,change_(deaths),total_recovered,serious___critical,region
China,"66,493","+2,642","1,523",+143,"8,251","11,053",Asia
Japan,260,+1,1,,11,9,Asia
Singapore,67,,,,17,8,Asia
Hong Kong,56,,1,,1,7,Asia
Thailand,34,+1,,,14,2,Asia
S. Korea,28,,,,9,,Asia
Malaysia,21,+2,,,7,,Asia
Taiwan,18,,,,1,,Asia
Germany,16,,,,1,,Europe
Vietnam,16,,,,7,,Asia
USA,15,,,,3,,N.America
Australia,15,,,,10,,Oceania
France,11,,,,3,1,Europe
Macao,10,,,,3,,Asia
U.K.,9,,,,1,,Europe
Canada,8,,,,1,,N.America
U.A.E.,8,,,,1,1,Asia
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,1,,Asia
Spain,2,,,,1,,Europe
Russia,2,,,,2,,Europe
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
Egypt,1,,,,,,Africa
Cambodia,1,,,,1,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
