#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
,North America,"1,658,849","+26,682","101,089","+1,456","420,933","1,136,827","17,397",,,,,,North America
,Europe,"1,761,355","+20,226","161,672","+1,190","755,525","844,158","11,757",,,,,,Europe
,South America,"424,502","+23,430","22,406","+1,103","147,121","254,975","10,423",,,,,,South America
,Asia,"778,047","+20,123","24,290",+327,"445,644","308,113","4,954",,,,,,Asia
,Africa,"83,276","+3,501","2,726",+87,"32,057","48,493",289,,,,,,Africa
,Oceania,"8,638",+17,119,,"7,890",629,16,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,"4,715,388","+93,979","312,317","+4,163","1,809,821","2,593,250","44,840",605,40.1,,,,All
1,USA,"1,506,315","+22,030","89,540","+1,033","338,959","1,077,816","16,247","4,554",271,"11,831,043","35,769","330,758,784",North America
2,Spain,"276,505","+2,138","27,563",+104,"192,253","56,689","1,208","5,914",590,"3,037,840","64,977","46,752,556",Europe
3,Russia,"272,043","+9,200","2,537",+119,"63,166","206,340","2,300","1,864",17,"6,656,340","45,614","145,926,781",Europe
4,UK,"240,161","+3,450","34,466",+468,N/A,N/A,"1,559","3,540",508,"2,489,563","36,697","67,841,324",Europe
5,Brazil,"233,142","+14,919","15,633",+816,"89,672","127,837","8,318","1,098",74,"735,224","3,462","212,368,566",South America
6,Italy,"224,760",+875,"31,763",+153,"122,810","70,187",775,"3,717",525,"2,944,859","48,697","60,472,650",Europe
7,France,"179,365",,"27,625",+96,"61,066","90,674","2,132","2,749",423,"1,384,633","21,219","65,255,646",Europe
8,Germany,"176,247",+548,"8,027",+26,"152,600","15,620","1,203","2,104",96,"3,147,771","37,585","83,750,665",Europe
9,Turkey,"148,067","+1,610","4,096",+41,"108,137","35,834",906,"1,758",49,"1,589,625","18,874","84,222,640",Asia
10,Iran,"118,392","+1,757","6,937",+35,"93,147","18,308","2,716","1,412",83,"672,679","8,022","83,853,830",Asia
11,India,"90,648","+4,864","2,871",+118,"34,224","53,553",,66,2,"2,134,277","1,549","1,378,270,651",Asia
12,Peru,"88,541","+4,046","2,523",+131,"28,272","57,746",840,"2,690",77,"630,482","19,157","32,912,133",South America
