country_other,total_cases,new_cases,total_deaths,newdeaths,total_recovered,serious__critical,region
China,"70,553","+2,053","1,771",+106,"11,158","11,272",Asia
Cruise Ship,454,+99,,,17,19,
Singapore,75,,,,19,5,Asia
Japan,65,+6,1,,17,19,Asia
Hong Kong,58,+1,1,,2,7,Asia
Thailand,35,+1,,,15,2,Asia
S. Korea,30,+1,,,10,,Asia
Malaysia,22,,,,8,,Asia
Taiwan,20,,1,,2,,Asia
Vietnam,16,,,,7,,Asia
Germany,16,,,,3,,Europe
USA,15,,,,3,,N.America
Australia,15,,,,10,,Oceania
France,12,,1,,4,,Europe
Macao,10,,,,5,,Asia
U.K.,9,,,,8,,Europe
U.A.E.,9,,,,3,1,Asia
Canada,8,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Cambodia,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Belgium,1,,,,1,,Europe
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
Egypt,1,,,,,,Africa
