country__other,total_cases,new_cases,total_deaths,newdeaths,total_recovered,serious___critical,region
China,"76,923",+635,"2,441",+96,"22,691","11,477",Asia
Diamond Princess,634,,2,,17,27,
S. Korea,433,+224,2,,18,9,Asia
Japan,134,+25,1,,22,6,Asia
Singapore,89,+3,,,49,5,Asia
Italy,79,+58,2,+1,2,18,Europe
Hong Kong,70,+1,2,,11,6,Asia
Thailand,35,,,,20,2,Asia
USA,35,,,,6,,N.America
Iran,29,+11,6,+2,,,Asia
Taiwan,26,,1,,2,1,Asia
Malaysia,22,,,,17,,Asia
Australia,21,+2,,,11,,Oceania
Germany,16,,,,14,,Europe
Vietnam,16,,,,15,,Asia
U.A.E.,13,+2,,,3,2,Asia
France,12,,1,,10,,Europe
Macao,10,,,,6,,Asia
Canada,9,,,,3,,N.America
U.K.,9,,,,8,,Europe
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Israel,1,,,,,,Asia
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Iraq,1,+1,,,,,Asia
